Wort
ohne zwingend Grund
nicht gern sehen
geben Rätsel auf
nicht klar zuordnen
nicht zu bestimmen
nicht danken werden
dank schuldig bleiben
nicht zu machen
Ding der Unmöglichkeit
nicht zu schaffen
nichts zu machen
nicht zu durchschauen
geteilt Meinung sein
herrschen keine Einigkeit
in einem Diskussionsprozeß
Meinung gehen auseinander
sich nicht einig
unterschiedlich Auffassung haben
aus unbegreiflich Grund
an der Schmerzgrenze
jenseits der Schmerzgrenze
kaum zu ertragen
nicht zu ertragen
in Ungnade fallen
persona non grata
gegen ihr Wille
gegen sein Wille
bitter Pille schlucken
können es nicht
Bestie in Menschengestalt
nicht ganz geheuer
kein böse Wille
keine böse Absicht
aus der Übung
nicht im Training
mit zweierlei Maß
in anderer Weise
sollen lieber nicht
ohne genau Prüfung
ohne kritisch Kontorolle
keinen Sinn ergeben
daraus werden nichts
daraus werden nix
nicht mit mir
außerhalb des möglich
können gar nicht
rein logisch unmöglich
nicht zu denken
können man vergessen
müssen nicht sein
außerhalb der Norm
mit ungewöhnlich Verlauf
nicht unbedingt zutreffen
nicht stimmen müssen
gegen die Gesellschaft
in der Tiefe
das Wort abschneiden
ins Wort fallen
nicht ausreden lassen
zu verheimlichen suchen
nicht bemerken werden
nicht identifizierbar sein
unter der Erdoberfläche
außer Gefecht setzen
geschlagen geben müssen
Schlappe hinnehmen müssen
den kurz ziehen
die Kröte schlucken
einer Sache ergeben
jemandem willfährig sein
mehr als nötig
nicht im Verhältnis
nicht in Balance
eher nachteilig auswirken
kaum Vorteil bieten
zu wenig bringen
keine Beachtung finden
keine Bedeutung haben
nicht darauf ankommen
nicht relevant sein
nicht schlimm sein
nicht wichtig sein
ohne Belang sein
ohne Relevanz sein
keine Geige spielen
total egal sein
zur Bedeutungslosigkeit absinken
wenig begeistert zeigen
sein kein verlassen
nichts halten von
wenig halten von
ins Exil schicken
haben sich ausge
zu Grund richten
Jemandes Gunst verscherzen
nicht sehen wollen
die Suppe versalzen
nicht losreißen können
den Falsche treffen
auf neureich machen
zum Fenster hinauswerfen
zum Fenster rauswerfen
vom Weg Abkommen
den Weg verfehlen
falsch Weg einschlagen
vom Weg abgeraten
vom Weg abirren
im le verlaufen
im Nichts verlaufen
ins Leere laufen
nicht weiterverfolgen werden
im Sand verlaufen
in rauchen auflösen
mit Nebensächlichkeit aufhalten
Zeit verplempern mit
ein Leck haben
ein Loch haben
den Teufel tun
das Rückgrat brechen
in Stück reißen
ans Messer liefern
deutlich werden lassen
sein Niederschlag finden
des Teufel sein
zum Negativ verändern
mit Verlust verkaufen
unter Wert verkaufen
nichts daran verdienen
ins Meer kippen
zu Sklave machen
spät als vorsehen
über der Zeit
im Netz fangen
zum Teufel jagen
ins Stottern geraten
ins Stottern kommen
zu stammeln anfangen
den Faden verlieren
in Unordnung bringen
völlig Chaos hinterlassen
eine Absage erteilen
böse Blut erzeugen
zu locker sitzen
nicht fest stehen
nichts wert sein
keinen Wert haben
abseits der Normalität
wider die Natur
frei nach Schnauze
aus eigen Machtvollkommenheit
in selbstherrlich Manier
in selbstherrlich Weise
als Illusion herausstellen
als unrealistisch erweisen
nicht Realität werden
zunichte machen werden
nichts gehen mehr
ohne erkennbar Grund
ohne erkennbar Zusammenhang
zu Mu machen
Kleinholz machen aus
die fressen polieren
den Hintern versohlen
Tracht Prügel geben
Tracht Prügel verabreichen
übers Knie legen
den Hosenboden strammziehen
unter Wasser stehen
den Spaß verderben
die Laune verderben
schlecht Laune machen
keine Verwendung haben
mehr als notwendig
nicht mehr notwendig
nicht mehr vonnöten
werden nicht brauchen
zu viel sein
zu viel vornehmen
zu viel zumuten
den Bogen überspannen
ins Aschgraue gehen
zu toll treiben
zu weit gehen
Klatsch und Tratsch
Bestreitung der Glaubwürdigkeit
Bestreitung der Gültigkeit
nicht der Regelfall
Kind ohne Vater
Zeit zum Nachdenken
Stochern im Nebel
Mädchen für alles
wenn sie freundlicherweise
unvollständig erhalten Statue
nichts für ungut
tun mir leid
Geschwätz der Leute
keinen Schritt weiter
extrem niedrig Lohn
sehr gering Gehalt
zu hoch greifen
billig produziert Roman
Roman ohne Anspruch
unter Abzug von
akt der Verzweiflung
der Realität verweigern
nichts hören wollen
Klappe gehen runter
auf Abbruch stehen
eine Trennungslinie ziehen
zu Kopf steigen
kein Interesse haben
kein Interesse zeigen
keine Lust haben
nicht interessiert zeigen
wenig geneigt zeigen
keinen Bock haben
keinen Nerv haben
Null Bock haben
die Grenze schließen
niemanden mehr reinlassen
die Grenze dichtmachen
den Überblick verlieren
in Detail verlieren
vom Thema Abkommen
ohne Einbezug von
unbeachtlich einer Sache
unter Ausschluss von
an Fettsucht leidend
A prima Vista
einsam und allein
nicht klar benennen
nicht klar umreißen
auf Knie flehen
unter Träne bitten
unter Träne flehen
Etw argumentativ untermaueren
grau wie Asche
sofort auf 180
auf Abstand halten
auf Distanz halten
nicht herankommen lassen
nicht näherkommen lassen
nicht mehr verheiraten
gehen nicht mehr
nicht mehr bestehen
nicht mehr bleiben
werden noch bereuen
werden noch vergehen
des Land verweisen
als unbedeutend hinstellen
am Galgen hängen
die Hölle heißmachen
kontrollieren werden von
zur Beichte gehen
nicht zueinander passen
am Arsch kriegen
mit erhoben Zeigefinger
mit Wort angreifen
nicht bei Bewusstsein
nicht bei sich
am stark ausprägen
um Geld anpumpen
mit Waffe ausstatten
nicht glauben können
einen Fauxpas begehen
ins Fettnäpfchen treten
einen Bock schießen
zum Gespött machen
kein Ruhmesblatt sein
zum Gespött werden
zum Hampelmann machen
zum Hanswurst machen
mit Boykott belegen
keinen Plan haben
am Rad drehen
außer Kontorolle geraten
für Chaos sorgen
in Unordnung versetzen
der Hoffnung sein
Produkt der Phantasie
Erstunken und erlügen
die halb Wahrheit
wer sagen verschweigt
wieder und wieder
aber und abermals
am laufend Meter
eine halb Ewigkeit
eine gefühlt Ewigkeit
im Widerspruch zu
mit umgekehrt Vorzeichen
unter umgekehrt Vorzeichen
zu sein Entsetzen
zu sein Schrecken
den Tod holen
ein hoffnungslos Fall
schon eine Ewigkeit
seit ewig Zeit
in Spekulation ergehen
keine gesichert Datumenbasis
wirr Zeug reden
dumm Zeug erzählen
Saudummes Zeug daherreden
unter hoch Zeitdruck
eine Leibesvisitation vornehmen
für sich reklamieren
irrtümlich für halten
nicht ganz da
die Peitsche geben
nicht mit Nachdruck
hinter Jemandes Rücken
für sich allein
ganz unten ankommen
zum Slum werden
ein Auge haben
im Blick behalten
im Blick haben
in Evidenz halten
im Auge behalten
achtlos vorbeigehen an
außer Acht lassen
außer Betracht lassen
nicht kümmern um
nicht schern um
nicht kehren an
einfach nicht zuhören
links liegen lassen
die Auge verschließen
sich nicht stellen
zu verdrängen versuchen
gehen gar nicht
neben der Spur
nicht zu retten
alles andere als
auf keinem Weg
bei weitem nicht
in keiner Beziehung
in keiner Weise
in keinerlei Hinsicht
in Keinster Weise
nicht im mindester
nicht und niemals
um kein Haar
unter keinen Umstand
nie und nimmer
nie und nirgends
zu keinem Zeitpunkt
zu keiner Zeit
im Leben nicht
nie im Leben
nach Atem ringen
nach Luft ringen
auf Streit aus
auf Krawall gebürstet
das Maul zerreißen
gotteslästerlich Rede führen
ständig Mahnung sein
aus Mangel an
im Sterben liegend
dem Tod nah
nicht gebrauchen können
nicht beteiligen sein
keinen Zugriff haben
Kontorolle entziehen sein
den Dienst versagen
sein Dienst versagen
für ausgeschlossen halten
können nicht sein
nicht vorstellen können
nicht lange fackeln
sein niemandem dienen
keine Lösung sein
nicht weiterkommen mit
die Hilfe verweigern
außer Stand sehen
es nicht bringen
es nicht schaffen
es nicht verstehen
es nicht vollbringen
nicht ausstehen können
nicht leiden mögen
nicht haben können
nicht riechen können
nicht verknusen können
nicht grün sein
im Chaos versinken
nicht wachsen sein
nicht klarkommen mit
nicht mehr mitkommen
zu viel kriegen
zu viel werden
Teller nicht leerbekommen
in Verzug geraten
nicht einhalten können
spät dran sein
ehrlich sagen nicht
nur Bahnhof verstehen
nicht folgen können
zu hoch sein
in Rätsel sprechen
es geben kein
geben es nicht
nun mal nicht
keine Ahnung haben
